书院国内实践决算表,书院国内实践决算表,书院国内实践决算表,书院国内实践决算表,书院国内实践决算表,书院国内实践决算表,书院国内实践决算表
二、支出类别,支出金额,"计算方式
（详细支出）","计算方式
（详细支出）","计算方式
（详细支出）","计算方式
（详细支出）",姓名  学号
1.差旅费 （支队成员罗列）,实报总金额,罗列实际可报销金额,罗列实际可报销金额,罗列实际可报销金额,罗列实际可报销金额,姓名  学号
队员1,2100,火车票（600+500）+住宿1000,火车票（600+500）+住宿1000,火车票（600+500）+住宿1000,火车票（600+500）+住宿1000,姓名  学号
队员2,,500元/天*1天,500元/天*1天,500元/天*1天,500元/天*1天,姓名  学号
队员3,,50元/份*10份,50元/份*10份,50元/份*10份,50元/份*10份,姓名  学号
队员4,,,,,,姓名  学号
队员5,,,,,,姓名  学号
队员6,,,,,,姓名  学号
队员7,,,,,,姓名  学号
,,,,,,姓名  学号
2支队物资,,,,,,姓名  学号
队旗,,,,,,姓名  学号
,,,,,,姓名  学号
,,,,,,姓名  学号
3.其他,,,,,,姓名  学号
,,,,,,姓名  学号
,,,,,,
合    计,,,,,,
"支队负责人签字：
  



年   月   日","支队负责人签字：
  



年   月   日","支队负责人签字：
  



年   月   日","支队负责人签字：
  



年   月   日",项目经费负责人签字：,项目经费负责人签字：,项目经费负责人签字：
"支队负责人签字：
  



年   月   日","支队负责人签字：
  



年   月   日","支队负责人签字：
  



年   月   日","支队负责人签字：
  



年   月   日",年   月   日,年   月   日,年   月   日
